key,es,en,de,pt,fr,it
languageEmoji,🇦🇷,🇬🇧,🇩🇪,🇧🇷,🇫🇷,🇮🇹
language,Español,English,Deutsch,Português,Français,Italiano
BinarioNoEncontradoException,Objeto no encontrado: {0},Object not found: {0},Objekt nicht gefunden: {0},Objeto não encontrado: {0},Objet introuvable : {0},Oggetto non trovato: {0}
CheckpointTooBigException,"No se puede guardar el checkpoint. El tamaño del checkpoint seria de {0}, mientras que el maximo especificado es de {1}","The checkpoint cannot be saved. The checkpoint size would be {0}, while the maximum specified is {1}.","Der Prüfpunkt konnte nicht gespeichert werden. Die Prüfpunktgröße wäre {0}, während der maximal angegebene Wert {1} beträgt.","O ponto de verificação não pode ser salvo. O tamanho do ponto de verificação seria {0}, enquanto o máximo especificado é {1}.","Le point de contrôle ne peut pas être enregistré. Sa taille serait de {0}, alors que la valeur maximale spécifiée est de {1}.","Impossibile salvare il checkpoint. La dimensione del checkpoint sarebbe {0}, mentre la dimensione massima specificata è {1}."
CouldNotDeleteException,No se pudo borrar {0},Could not delete {0},{0} konnte nicht gelöscht werden,Não foi possível excluir {0},Impossible de supprimer {0},Impossibile eliminare {0}
NameTooLong,El nombre es demasiado largo (máx. 255 caracteres).,The name is too long (max. 255 characters).,Der Name ist zu lang (max. 255 Zeichen).,O nome é muito longo (máximo de 255 caracteres).,Le nom est trop long (max. 255 caractères).,Il nome è troppo lungo (max. 255 caratteri).
DescTooLong,La descripcion ingresada es demasiado larga,The description entered is too long,Die eingegebene Beschreibung ist zu lang,A descrição inserida é muito longa.,La description saisie est trop longue.,La descrizione inserita è troppo lunga
TextTooLong,El texto ingresado es demasiado largo.,The text entered is too long.,Der eingegebene Text ist zu lang.,O texto inserido é muito longo.,Le texte saisi est trop long.,Il testo inserito è troppo lungo.
OperationTooLong,La operación tardó demasiado. Intenta nuevamente,The operation took too long. Please try again.,Der Vorgang hat zu lange gedauert. Bitte versuchen Sie es erneut.,"A operação demorou muito tempo. Por favor, tente novamente.",L'opération a pris trop de temps. Veuillez réessayer.,L'operazione ha richiesto troppo tempo. Riprova.
NoDBConnection,No se pudo conectar a la base de datos,Could not connect to the database,Es konnte keine Verbindung zur Datenbank hergestellt werden.,Não foi possível conectar ao banco de dados.,Impossible de se connecter à la base de données,Impossibile connettersi al database
